text,posicion
"RT @FondoSemillas: Esta es una selfie de María Campos rodeada por sus 5 hijas.
Ella murió por un aborto inseguro el 28 de febrero en Argent…",si
RT @TD_Nacional: #AbortoLegal https://t.co/qrocNxeJbF,si
RT @martinciriook: Esta Mariana anti aborto nos grita HIPAKRETAAAAA! Me encanta que mezclen todo y de repente que Macri suba el TRANSporte…,si
"RT @IpasLatina: La prohibición absoluta del #aborto viola los derechos de mujeres y niñas a la vida, a la #salud, a la libertad y autodeter…",si
"RT @campaniabortoLP: #Pañuelazo luego de nuestra Conferencia de Prensa por el #AbortoLegal !! 
¡¡Sin Papa facho y burgués el aborto sería l…",si
RT @TD_Nacional: #AbortoLegal https://t.co/qrocNxeJbF,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @chechamerchan: #Ahora #cordoba, estaré en el programa #VeniMañana por Canal 8, vamos charlar sobre #AbortoLegal. #AbortoLegalYa https:/…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @MumalaSde: Vuelven los debates al congreso mañana sobre #AbortoLegal y nuestra compañera @raquelvivanco tendrá la palabra.
Podés escuch…",si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @vaninabiasi: Infobae o una postal de #ElFinDelPeriodismo #AbortoLegal https://t.co/iFKZtpPoUr,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @martinciriook: Esta Mariana anti aborto nos grita HIPAKRETAAAAA! Me encanta que mezclen todo y de repente que Macri suba el TRANSporte…,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
"RT @sayitoh: Entre ellas, una pastora pentecostal que está a favor del #AbortoLegal. Su tarea religiosa y social es en algunas de las zonas…",si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @TatianaGoransky: Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. ht…,si
Madrid. Hoy ¡Mucha ilu! Presentación doble + amigos + firma a la distancia por #AbortoLegal en Argentina. Gran día. https://t.co/032cdh7F2F,si
"RT @catolicasrd: Estamos exigiendo #abortolegal no que se obligue a abortar, una cosa es el dogma, otra garantizar derecho, las mujeres y l…",si
RT @LuisaMarq1: #TrapaDrive #AbortoLegal https://t.co/vdIqmd5D5z,si
"RT @sxfia_f: nunca está de más recordarlo:
educación sexual para decidir,
anticonceptivos para no abortar,
#abortolegal seguro y gratuito p…",si
"RT @pletrabajadoras: #SantaFe, no te pierdas el debate por el #AbortoLegal junto a referentes de la campaña nacional y especialistas!

Un d…",si
"RT @nbg__: ""Afirmar que un embrión es una persona puede ser válido para una religión, pero no lo es para la ciencia"". Mario Sebastiani, obs…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
#MartesVerdes todos los martes nos teñimos de verde por el #AbortoLegal. Digamos NO al aborto clandestino!… https://t.co/7C4mLaA5g3,si
"RT @IpasLatina: ""El misoprostol es recomendado por la OMS en su ""Manual de Práctica Clínica para un Aborto"" para realizar abortos seguros y…",si
RT @nbg__: Aborto: presiones de los anti legalización para excluir a los artistas de las exposiciones. Creen que les hacen perder la batall…,si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
"RT @2d65cd6c5cd2a59: el versito de ""salvar vidas"" para conseguir aprobación social del #AbortoLegal es para la gilada ignorante. nunca se t…",si
"RT @MSTargentina: Educación sexual para decidir, anticonceptivos para no abortar y #AbortoLegal para no morir. #BancoAVilma",si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
"RT @Berlinabia: @NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Están deba…",si
RT @PromedicaMujer: ¿Buscas información confiable sobre #AbortoLegal en #CDMX? ¡La encontraste! Somos especialistas en #SaludSexual y #Salu…,si
RT @TD_Nacional: #AbortoLegal https://t.co/qrocNxeJbF,si
"RT @_Ignacio_1_: #Aborto🔪#aborto3causales 🗡""#abortolegal""🗡""#abortogratuito""⁉️
📢
CRÍMENES 🗡CON💰MIS 👉💰IMPUESTOS 💰NO‼️
#SomosMillones ❤#PorLaV…",si
"RT @_Ignacio_1_: #Aborto🔪#aborto3causales 🗡""#abortolegal""🗡""#abortogratuito""⁉️
📢
CRÍMENES 🗡CON💰MIS 👉💰IMPUESTOS 💰NO‼️
#SomosMillones ❤#PorLaV…",si
Mañana es martes verde. #AbortoLegal https://t.co/0HxOl9yfXg,si
"RT @Cuatrochentisei: A las que dicen ""yo lo tendría y lo daría en adopción"": vieron qué lindo es poder decidir? Eso quieren las del pañuelo…",si
"No se trata de que lo diga un médico, un diputado, una feminista, una que lo hizo, una que NO lo hizo, el papa, Gan… https://t.co/Pf2WptKFbm",si
"@NunkMasKKs Los hijos de la década.los hijos del plan. Los hijos de la desidia. Inyección y al otro mundo sres.

Es… https://t.co/ejC0QqLvIK",si
RT @EzePassarelli: #abortolegalseguroygratuito #AbortoLegalEsVida #AbortoLegal #Aborto #aborto https://t.co/C44nqbeoii,si
RT @CarlaCarrizoAR: “No permitamos que nos roben la palabra vida”. Gran discurso de @claudiapineiro 👏🏻 Más de 200 escritoras a favor de #Ab…,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @raquelvivanco: Mañana me toca. #AbortoLegal #AhoraEsCuando 💪🏽💚 https://t.co/TackkRzVb4,si
"RT @pletrabajadoras: #SantaFe, no te pierdas el debate por el #AbortoLegal junto a referentes de la campaña nacional y especialistas!

Un d…",si
RT @IkkiFenix__: Aborto en Francia: 43 años de experiencia que llaman a la reflexión - Infobae #AbortoLegal https://t.co/6L3Rky9hi1,si
RT @IkkiFenix__: Aborto en Francia: 43 años de experiencia que llaman a la reflexión - Infobae #AbortoLegal https://t.co/6L3Rky9hi1,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @MumalaSde: Vuelven los debates al congreso mañana sobre #AbortoLegal y nuestra compañera @raquelvivanco tendrá la palabra.
Podés escuch…",si
RT @IkkiFenix__: Aborto en Francia: 43 años de experiencia que llaman a la reflexión - Infobae #AbortoLegal https://t.co/6L3Rky9hi1,si
"RT @soylurri: Mañana expondrá @gaby_guerreros, la única pastora pentecostal a favor del #AbortoLegal | ""Las pentecostales también abortamos…",si
RT @raquelvivanco: Mañana me toca. #AbortoLegal #AhoraEsCuando 💪🏽💚 https://t.co/TackkRzVb4,si
"RT @Cuatrochentisei: A las que dicen ""yo lo tendría y lo daría en adopción"": vieron qué lindo es poder decidir? Eso quieren las del pañuelo…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @martinciriook: Esta Mariana anti aborto nos grita HIPAKRETAAAAA! Me encanta que mezclen todo y de repente que Macri suba el TRANSporte…,si
"RT @nbg__: ""Afirmar que un embrión es una persona puede ser válido para una religión, pero no lo es para la ciencia"". Mario Sebastiani, obs…",si
"RT @soylurri: Mañana expondrá @gaby_guerreros, la única pastora pentecostal a favor del #AbortoLegal | ""Las pentecostales también abortamos…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @TD_Nacional: #AbortoLegal https://t.co/qrocNxeJbF,si
"RT @MumalaSde: Vuelven los debates al congreso mañana sobre #AbortoLegal y nuestra compañera @raquelvivanco tendrá la palabra.
Podés escuch…",si
Mañana me toca. #AbortoLegal #AhoraEsCuando 💪🏽💚 https://t.co/TackkRzVb4,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @IpasLatina: La prohibición absoluta del #aborto viola los derechos de mujeres y niñas a la vida, a la #salud, a la libertad y autodeter…",si
"RT @Cuatrochentisei: A las que dicen ""yo lo tendría y lo daría en adopción"": vieron qué lindo es poder decidir? Eso quieren las del pañuelo…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @ddeserGro: #FelizLunes @ddeserGro te informa. Si sufriste violencia sexual y quedaste embarazada #PuedesElegir un #AbortoLegal la Ley t…,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @soylurri: Mañana expondrá @gaby_guerreros, la única pastora pentecostal a favor del #AbortoLegal | ""Las pentecostales también abortamos…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
Del lado correcto de la vereda💚 #AbortoLegal #Interclaustro https://t.co/aPm2yYWpjX,si
"RT @FondoSemillas: Esta es una selfie de María Campos rodeada por sus 5 hijas.
Ella murió por un aborto inseguro el 28 de febrero en Argent…",si
"RT @FranjaMendoza: El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

http…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @SomosMuchasHN: ""No se trata de cuestiones morales, científicas ni religiosas. Es un tema político, de dominación. De hipocresía. No es…",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"El Rector @ingdanielpizzi
adhirió a la declaración emitida por el CIN a favor del #Abortolegal, seguro y gratuito.

https://t.co/9M2oqzyhva",si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @MumalaSde: Vuelven los debates al congreso mañana sobre #AbortoLegal y nuestra compañera @raquelvivanco tendrá la palabra.
Podés escuch…",si
Esto me llena de orgullo #AbortoLegalYa #AbortoLegal #Aborto https://t.co/sa38tuXxdp,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"""Si abortas matas bebés"" ""Si legalizan el aborto nadie se va a cuidar"" ""Les pasa por putas,  %ie se jodan""
👆👆👆👆👆👆👆… https://t.co/wmm63U5J64",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @eugeniasecco: Cuenta la leyenda q antiguamente el aborto no era castigado, es más, en la Roma pagana de los primeros siglos, predominab…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @TD_Nacional: #AbortoLegal https://t.co/qrocNxeJbF,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"@vikidonda en @unc_cordoba #Crece la ola verde.
#AbortoLegal
#AhoraEsCuando https://t.co/nPfMjHPdkG",si
RT @ddeserGro: #FelizLunes @ddeserGro te informa. Si sufriste violencia sexual y quedaste embarazada #PuedesElegir un #AbortoLegal la Ley t…,si
#AbortoLegal https://t.co/qrocNxeJbF,si
RT @nbg__: Aborto: presiones de los anti legalización para excluir a los artistas de las exposiciones. Creen que les hacen perder la batall…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"Vuelven los debates al congreso mañana sobre #AbortoLegal y nuestra compañera @raquelvivanco tendrá la palabra.
Pod… https://t.co/Gw7ldxgRsh",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @MujeresVl: #AbortoLegal #ABORTOLEGALYA @MujeresVl https://t.co/1iB5YqGeht,si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
"RT @MSTargentina: Educación sexual para decidir, anticonceptivos para no abortar y #AbortoLegal para no morir. #BancoAVilma",si
RT @hrw_espanol: Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace que sean…,si
Encarcelar a las mujeres que interrumpen sus embarazos no contribuye a reducir la cantidad de abortos; solo hace qu… https://t.co/JuyGFE5u79,si
"RT @SomosMuchasHN: ""No se trata de cuestiones morales, científicas ni religiosas. Es un tema político, de dominación. De hipocresía. No es…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @nbg__: Pregunta Terada a Katz de dónde surge su aseveración de que la vida de la mujer es un valor superior a la del embrión. ""El argum…",si
RT @AnaFigueroa07: #AbortoLegal https://t.co/OKWwHJhLE4,si
"RT @moreira_enzo: #Argentina inició ésta semana el debate por #AbortoLegal, en #PanoramaABC de #hoy dialogamos con las Diputadas .@brendali…",si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @fabi_Schultheis: Argentina es uno de los pocos países en Occidente que ha demostrado una movilización de las mujeres. #Paridad #AbortoL…,si
"Mañana expondrá @gaby_guerreros, la única pastora pentecostal a favor del #AbortoLegal | ""Las pentecostales también… https://t.co/K4LW7ZYB1E",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @CarlaCarrizoAR: “No permitamos que nos roben la palabra vida”. Gran discurso de @claudiapineiro 👏🏻 Más de 200 escritoras a favor de #Ab…,si
#lanus #zonasur #pañuelazo #abortolegal https://t.co/dbzISZeQ3J,si
#abortolegalseguroygratuito #AbortoLegalEsVida #AbortoLegal #Aborto #aborto https://t.co/C44nqbeoii,si
"Estoy segurísima que el 90% de los que están tanto a favor como en contra del #AbortoLegal, no leyeron los artículo… https://t.co/YOagPwQhkJ",si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
"RT @altatorna: Si se aprueba el #AbortoLegal, ""Argentina se convertiría en el país más poblado de América Latina en permitir el aborto, un…",si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @MujeresVl: #AbortoLegal #ABORTOLEGALYA @MujeresVl https://t.co/EAa2fZHa4z,si
RT @LuisaMarq1: #TrapaDrive #AbortoLegal https://t.co/vdIqmd5D5z,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @altatorna: Si se aprueba el #AbortoLegal, ""Argentina se convertiría en el país más poblado de América Latina en permitir el aborto, un…",si
"RT @CENI_SF: #NoAlAborto #SiALaVida #QuieroNacer #DerechoANacer #AbortoLegalSeguroYGratuitoYa #AbortoLegal 
#BuenLunes #MesaPorLaVidaSF #25…",si
"Si se aprueba el #AbortoLegal, ""Argentina se convertiría en el país más poblado de América Latina en permitir el ab… https://t.co/T952en6nBc",si
"RT @nbg__: Pregunta Terada a Katz de dónde surge su aseveración de que la vida de la mujer es un valor superior a la del embrión. ""El argum…",si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
"RT @LaLetraChicaOk: | @vilma_ripoll dice que Romero la ""ataca porque defiendo el derecho de las mujeres"" #AbortoLegal 
👉https://t.co/KP6Sa1…",si
"RT @moreira_enzo: #Argentina inició ésta semana el debate por #AbortoLegal, en #PanoramaABC de #hoy dialogamos con las Diputadas .@brendali…",si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
RT @nbg__: Nicolás Massot sobre el #AbortoLegal en LN. https://t.co/ItV5gNBEjF,si
"RT @DianasPosts: “Si existe el derecho de tener hijos, debe existir el derecho de no tenerlos.” -Sebastiani. #AbortoLegal",si
"En el baño del Ferrari dice ""en esta escuela no me dejan expresarme por eso #abortolegal por si te sale como el pad… https://t.co/c3k3gPipxL",si
"#AbortoLegal 
.
.
.
.
Parece que tengo tengo el pelo largo y nada que ver https://t.co/90fm6TnJpQ",si
Aborto en Francia: 43 años de experiencia que llaman a la reflexión - Infobae #AbortoLegal https://t.co/6L3Rky9hi1,si
RT @estipozzo: Veo los listados de expositores de mañana por #AbortoLegal. Se viene repitiendo lo siguiente: a favor suelen ser mayoría muj…,si
RT @brendalisaustin: En la Facultad de Psicología de la UNC compartimos un espacio de intercambio para nutrir el debate acerca del #AbortoL…,si
"RT @EcoFeminita: Nosotras pedimos educación sexual para decidir, anticonceptivos para no abortar y #AbortoLegal para no morir. https://t.co…",si
RT @PromedicaMujer: ¿Buscas información confiable sobre #AbortoLegal en #CDMX? ¡La encontraste! Somos especialistas en #SaludSexual y #Salu…,si
#AbortoLegal #AbortoLegalYa https://t.co/uwHVvTOFJG,si
